qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Royal Food Way,4.3,-457,·,?1400,Restaurant,·,?,·,"DNo. 17-11-9/A, Ponnur Rd, beside Rajadhani Playwood, opposite Gramina Chaitanya Bank",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Sri Parameswari Tiffin's,4.4,-56,·,?1200,Restaurant,·,?,·,"Shop Num, 23-1-6, Etukuru Rd, beside Sri Kankayaparamewari Temple",Open,· Closes 10:15 pm,Dine-in,·,Drive-through,·,Delivery,Order online,?
The Nutri cafe. Guntur,4.9,-18,,,Health Food,·,,"8C5M+HXF, Lakshmipuram Main Rd, inside FITLIFE GYM",,,,,,,,,,
"BSR Tea Shop,Auto Nager, Guntur, Andhra Pradesh",5.0,-2,,,Coffee shop,·,,8FCM+CP9,,,,Dine-in,·,Takeaway,,,,
Sri Srinivasa Vilas (PALLA's),4.2,-203,,,Food court,·,,Kakani Rd,,,,Dine-in,·,Drive-through,·,Delivery,Order online,?
Cake Roven,4.2,"-1,095",·,?200400,Bakery and Cake Shop,·,,"3, Lakshmipuram Main Rd",,Open,· Closes 10 pm,On the menu:,,cafes,,,Order online,?
The Guntur Gongura,3.8,"-1,392",·,"?2001,200",Biryani,·,,"3-28-64, 3rd Ln, opposite HDFC",,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
SILKTEA,4.7,-3,,,Coffee shop,·,,"Silk Tea, Sudhapalli Donka Rd",,,,Dine-in,,,,,,
HOTEL BHARAT CAFE,3.6,-22,,,Restaurant,·,,Guntur - Vijayawada Hwy,,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Friends meet chai hub,5.0,-2,,,Tea store,·,,"Ponnur Rd, near NAYARA PETROL BUNK",,,,,,,,,,
UGC-Gaming Cafe,3.3,-17,,,Game store,·,,8FG3+WHV,,Open,· Closes 11 pm,"""Nice place to hangout with friends""",,,,,,
Barbeque Nation,4.1,"-4,975",·,"?8001,000",Barbecue,·,?,·,"Building, 3rd floor, Appanam, Lakshmipuram Main Rd, above Westside - Guntur, Andhra Pradesh",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
7th Heaven,4.1,-685,·,?200400,Bakery and Cake Shop,·,,"4, 14th St",,Open,· Closes 10:30 pm,On the menu:,,cafes,,,Order online,?
Roman Bakery,4.2,-217,·,??,Bakery and Cake Shop,·,?,·,Patnam Bazar Rd,Open,· Closes 10:30 pm,On the menu:,,cafes,,,,
KFC,4.0,"-10,976",·,"?4001,200",Restaurant,·,?,·,"Plot No 5, 87/92, Lakshmipuram Main Rd",Open,· Closes 11 pm,No-contact delivery,·,No dine-in,·,No takeaway,Order online,?
Hotel Ajmeer Maharaj,3.6,"-2,281",·,?200400,Biryani,·,,"Stadium Road, beside 2nd Line",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
MM Chai House,4.5,-6,,,Restaurant,·,,"Nadhivelugu Road Vasthra, Ziyauddin Nagar Main Rd",,,,Dine-in,,,,,,
Flameingoes,3.8,"-1,055",·,?200400,Biryani,·,,"2nd Cross, 3rd Ln",,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Rajasthani Pulkas,4.2,-310,·,?1200,Rajasthani Restaurant,·,?,,,Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,,,,
Hotel Subani,3.9,"-13,923",·,?200400,Andhra,·,?,·,"Nallapadu, Road, beside mirchi yard",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Chill spot,5.0,-5,,,Tea store,,,,,,,"""18 different types of teas and coffees available.""",,,,,,
Marvadi Bhojanalaya,4.2,-355,·,?1200,North Indian,·,,"1, 1",,Open,· Closes 3 pm · Reopens 6:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Little Spice A Multi cuisine Family Restaurant A/C,4.5,-793,·,?200400,Restaurant,·,,"12, Old Club Rd",,,,"""The food is good, it has unique flavour and taste in each item.""",,,,,,
MSR Bar & Restaurant,3.8,-50,·,?1200,Restaurant,·,,"7FF9+25W, Guntur -Tenali Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Ruchi Family Restaurant,3.9,-366,·,?1400,Family-friendly,·,,"7FX4+2C4, # Opp.R.T.C.Bus Stand, Guntur",,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Tawabul Haleem and mandi biryani,4.0,-574,·,?200400,Biryani,·,,"3, Pothurivarithota, Near, bustand area",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Hotel Nakshatra,4.5,-15,·,"?4001,200",Restaurant,·,,"8F2M+H69, National Hwy 16 Service Rd",,Open,· Closes 10:55 pm,Dine-in,·,Takeaway,,,,
One stop cafe guntur,5.0,-2,,,Cafe,·,,"HDFC Bank, 4/2, opposite Guntur",,,,"""Momos was  awesome taste""",,,,,,
Raj Noodles & Pulka Point,4.4,-16,,,Noodle Shop,·,,"Old Bus Stand, beside Chanda Brothers",,Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Rachana Cyber Cafe,3.3,-16,,,Internet cafe,·,,Railpet,,Open,· Closes 9 pm,,,,,,,
Classic Fast Food Center,3.8,"-1,143",·,?1200,Fast Food,·,?,·,4th Ln,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Bismillah Biryani point,3.9,"-2,118",·,?200400,Biryani,·,?,,,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Iswarya Restaurant&Bar,3.2,-47,·,?,Restaurant,·,,"7FW3+7X5, Vijayawada Guntur Expressway, Kotha Pet",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
sree sai net cafe,4.0,-12,,,Internet cafe,·,,Shop Employees Colony Main Rd,,Open,· Closes 9:30 pm,"""Good taste food""",,,,,,
RAJA RAJESWARI BHARGAV HOTEL,3.8,-38,·,?1200,Tiffin center,·,,Old Bank St,,Closes soon,· 11:30 am · Reopens 3 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Sri Murali Krishna Internet Cafe,4.3,-7,,,Internet cafe,·,,"Do.No.12-17-31/3, near Basavapunnaiah Hospital",,Open,· Closes 7 pm,,,,,,,
TEA TYPES,,,,,Cafe,·,,"Nandhivelugu Road Vasthra, Vinobha Nagar 5th Line",,Open,· Closes 9 pm,,,,,,,
Chillies Dhaba,3.8,"-3,632",·,?200400,Dhaba,·,?,,,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
PNR Shop,5.0,-1,,,Restaurant,·,,70-5,,,,,,,,,,
Sri Lakshmi Foods,3.8,-967,·,?1200,Biryani,·,,"2nd, Ring Rd",,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Pallapati Family Restaurant,4.7,-7,,,Restaurant,·,?,·,"to, Guntur - Ponnur Rd",Open,· Closes 11:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
GOPAL FOOD COURT,4.6,-5,,,Restaurant,·,,8F2R+99X,,Closed,· Opens 12 pm,Dine-in,,,,,,
Spicy 1,4.0,-203,·,?1200,Family-friendly,·,,Old Guntur Main Rd,,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
