qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,AJB7ye,AJB7ye 2,doJOZc,W4Efsd 6
The Magic Resto,4.3,"-4,877",Restaurant,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–400,,SV Complex
Chai Bar Kurnool,5.0,-4,Cafe,·,opposite Majestic Function Hall,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,,,,
Kurnool Chefs,4.1,"-1,474",Dhaba,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–400,,"NH 44, Jaganatha Gattu Temple Rd"
Lava Stone Restaurant,4.0,"-2,159",Biryani,·,·,Open,· Closes 3:30 pm · Reopens 7 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,·,"₹200–1,200",,"NH44, Hyderabad - Bangalore Hwy"
Aahar Fine Dining,4.1,"-2,189",Breakfast,·,·,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,,·,₹200–400,,"40-304, Risaldar Masjid Rd"
STAR CAFE,4.8,-10,Cafe,·,near ZPH School,,,Dine-in,,,,,,,,,,
ABC CAFE,5.0,-4,Coffee shop,,,Open,· Closes 9 pm,Dine-in,,,,,,,,,,
Shroff Cafe And Bakers,4.4,-5,Cafe,·,Park Rd,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,,,,,
Kurnool Club Canteen,4.1,"-1,356",Biryani,·,·,Opens soon,· 11 am,Dine-in,·,Takeaway,·,Delivery,Order online,,·,₹200–400,,"46/129-A2, Stadium Rd"
MILLET CAFE,5.0,-1,Cafe,·,"R29R+6H2 Podupu Bhavan, Collector Complex",Open,· Closes 6 pm,Dine-in,,,,,Order online,,,,,
Oye cafe,5.0,-2,Coffee shop,·,40/304-3,,,Dine-in,,,,,,,,,,
Hill top cafe shop,5.0,-3,Coffee shop,·,"Q26R+VFX, IIITDM Kurnool Rd",,,Dine-in,,,,,,,,,,
THE JOINT AL-MANDI,4.0,-890,Arab restaurant,·,"2nd Floor, Challa Chambers, Club Circle, near Kurnool",Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,"₹200–1,200",,
HYDERABAD CHEFS,4.1,"-4,205",Hyderabadi,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–600,,"NH 44, opposite KATTAMANCHI SCHOOL VENKANNABAVI"
KARTHIKEYA CAFE,5.0,-3,Cafe,·,"R24Q+QV4, Gooty Rd",,,Dine-in,,,,,,,,,,
"Swagath Coffee, Tea, Cooldrinks",3.9,-24,Soft drinks shop,·,"Shree Nagar, near National Highway 44",Open,· Closes 9 pm,Takeaway,,,,,,,,,,
Matsya Amazon Kitchens,4.0,"-4,257",Andhra,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,,·,₹200–400,,Kurnool Road
Kurnool,5.0,-1,Coffee shop,·,"R22Q+P6X, Gooty Rd",,,,,,,,,,,,,
3 Kaal Coffee and Tea,4.1,-19,Cafe,·,"Shop No. 1, Opp Sunkesula Rd, Radha Swamy Colony, beside Karthik Hospital",,,Dine-in,·,Takeaway,,,,,·,₹1–200,,
Apsara Tea&Cool Drinks,4.0,-310,Cafe,·,Ongole - Kurnool Main Rd,Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,,·,₹1–200,,
