qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Hot coffee cafe,5.0,-4,,,Cafe,,,Open,· Closes 10 pm,"""One of the best",,cafe in,,"kadapa""",,
Thati bellam cafe,4.2,-66,·,?1200,Coffee shop,·,2-1-477,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
Mama's cafe Tasty trails and Chai bar,4.8,-5,·,?1200,Coffee shop,·,NH40,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
Friendly Ground Cafe,4.0,-7,·,?1200,Cafe,,,Open,· Closes 2 am,Dine-in,·,Drive-through,·,Delivery,,
Area 51 - The café hideout,4.3,"-2,502",·,"?2001,000",Cafe,·,"Area 51- The café hideout, Hill view conventions, IT Sez,Hill No.2 Plot-F,on the way to Mouri tech",Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Reserve a table,?
Brew Buzz,4.2,"-2,804",·,?200400,Cafe,·,"59-7/9 Babu Textiles Road, 1st Ln, opp. LEPL Project Office",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
SR CAFE,5.0,-6,,,Coffee shop,·,"Muddanur Rd, opp. hp petrol bunk",Open,· Closes 9 pm,Dine-in,,,,,,
James Cafe,4.0,-7,,,Food court,·,RGUKT RK VALLEY,,,,,,,,,
Café Coffee Day,4.0,"-1,498",·,?200400,Cafe,·,"D.NO:40-5-19/4, Tikkle Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Chai club,3.0,-4,,,Coffee shop,·,HQ2W+WV4,,,Dine-in,·,Drive-through,,,,
Bimash Family Restaurant,4.7,-9,,,Vegan,,,Open 24 hours,,Dine-in,·,Takeaway,,,,
HOTEL VISHNU PRIYA - PURE VEG SINCE 1989,3.9,"-1,268",·,??,Restaurant,·,"FRFF+3C6, Near NTR Circle",Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
MAYURA FAST FOOD VEG,4.0,"-1,376",·,?1200,Breakfast,·,NTR circle,Open,· Closes 9:55 pm,"""The Tea and Filter",,Coffee,,"are the best hot beverages served here.""",Order online,?
Varnam Art Cafe,4.1,-113,·,"?2001,200",Art cafe,·,GM38+RH9,Opens soon,· 11 am,Dine-in,,,,,Order online,?
Vintage 90's Cafe,4.5,-145,·,?1200,Cafe,·,"opp. Vijaya Milk Dairy, near YS Vivekananda Reddy Memorial Park",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Gluttons Garage,4.0,"-2,387",·,"?2001,000",Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Chowrasta cafe,4.4,-24,,,Food court,·,"Mydukur Rd, beside hp petrol bunk",,,Takeaway,,,,,,
Ansar Tea Cafe,4.2,-68,,,Cafe,·,PMG5+P68,Open 24 hours,,"""Kasim super hero""",,,,,,
chotu coffe shop,4.6,-45,·,?1200,Coffee shop,·,83CJ+WCP,Open 24 hours,,Dine-in,·,Takeaway,,,,
Naidu tiffen center Bun tea cafe,3.5,-11,·,?1200,Coffee shop,·,Kurnool - Chittoor Nat'l Hwy,Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
