qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe 2,bbPy1 2
COFFEE CLUB,5.0,-64,·,₹1–200,Cafe,·,G2H6+W83,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
The Hide Resto Cafe,4.7,-42,·,₹200–400,North Indian,·,"Besides KIA service center, Near SreeKanya Cinepolis, IT Junction road",,,"""Nice food nice location""",,,,,,
THE CAFE,4.3,-7,,,Cafe,·,10-09-2001,Closed,· Opens 9 am Tue,Dine-in,·,Drive-through,·,No-contact delivery,,
Helly & chilly Cafe,4.7,-30,·,"₹400–1,400",Cafe,·,opposite AVG multiplex,,,Dine-in,·,Takeaway,·,Delivery,Order online,
Fit cafe,5.0,-1,,,Cafe,,,Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,,,,
The Coffee Cup,4.3,"-15,959",·,"₹200–1,200",Cafe,·,·,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Cafe Club,4.5,-8,,,Cafe,·,X6CQ+3WV,,,Dine-in,·,Takeaway,·,Delivery,,
Annapurna Coffee Cafe,4.0,-1,,,Cafe,·,"2-14/2, Tdp Road",,,Dine-in,·,Drive-through,,,,
Mr.Irani CHAI,4.2,-43,·,₹1–200,Coffee shop,·,"Aspari bye pass, Gooty - Adoni Rd, near hp petrol bunk",Open,· Closes 12 am,Dine-in,·,Drive-through,·,No delivery,,
The Secret Garden - Restaurant | Photostudio | Patio | Dhaba,4.5,"-1,858",,,Restaurant,·,·,,,"""Highly recommend for anyone looking for great food and a relaxed vibe!""",,,,,,
Modern cafe hotel,4.0,-413,·,₹1–200,Family-friendly,·,"3CW6+59Q, Nellore Rd",Open,· Closes 10:45 pm,Dine-in,·,Takeaway,,,,
Coffee boy,,,,,Coffee shop,·,gitam university Giram,Open,· Closes 6 pm,Dine-in,·,Takeaway,·,Delivery,,
Metro cafe,5.0,-3,,,Tea store,·,Jawaharlal Nehru Technological University,,,,,,,,,
Anand coffee shop,5.0,-4,,,Coffee shop,·,X66W+W2H,Open,· Closes 11 pm,Takeaway,,,,,,
Tea Tree,3.9,-10,,,Coffee shop,·,Achimpeta junction,,,Dine-in,·,Drive-through,,,,
TEA HOUSE,4.7,-13,,,Restaurant,·,NFCL Rd,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
Pedapudi coffee shop,4.2,-9,,,Coffee shop,·,Ganjam Vari St,Open,· Closes 8 pm,Takeaway,,,,,,
Araku Coffee Shop,3.0,-1,,,Coffee shop,·,"X6VR+9QG, Sarpavaram Jct, beside Visakha dairy retail outlet",,,Takeaway,,,,,,
Addateegala,3.7,-7,,,Coffee shop,·,F2FC+XWC,,,Dine-in,,,,,,
Coffee Sangam,4.2,-414,·,"₹400–1,000",Restaurant,·,"Gayatri Halls, 8-2-293/82/A/270/A, Road No. 10 A",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
"Nellore ""HUB""",4.2,"-1,794",·,₹1–200,Restaurant,·,·,Open,· Closes 11:45 pm,"""Good place to have a snack,tea,",,coffee,,"cheat chat with friends ""IPL"" too""",,
Veg treat @ kakinada,4.4,"-4,024",·,₹200–400,Vegetarian,·,beside bashyam school,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
