qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Haveli Restaurant,3.6,"-1,704",·,₹200–400,North Indian,·,,·,Anand Theatre Complex,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
VASISTA MULTICUISINE RESTAURANT,4.0,"-1,120",·,₹200–400,Biryani,·,,3 LIGHT JUNCTION,,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Koustubha Veg Restaurant,3.9,"-4,254",·,₹200–400,Vegetarian,·,,·,"D.No:13-1-16, Near Venkata narasimha Enterprises, Main Road, National Highway 214",Open,· Closes 10:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Mr Mokshit Cafe & Foodie,5.0,-1,,,Coffee shop,·,,"X64P+XCM, Main Rd",,Opens soon,· 11 am,Dine-in,,,,,Order online,
Kondapalli cafe,4.5,-42,·,"₹400–1,400",Restaurant,·,,"No. 21 1, 2/4, Temple St, opp. Municipal Corporation Girls H School",,,,"""Good ambience, tasty food, very attentive staff.""",,,,,,
Ayyar Hotel,4.0,"-1,006",·,₹1–200,Vegetarian,·,,·,"8-10-25, Red Cross Street",Open,· Closes 12 pm · Reopens 5 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Vamsy Organic Cafe,,,,,Coffee shop,·,,4,,Open,· Closes 8 pm,,,,,,,
Raju Gari Kodi Pulao,4.5,"-1,282",·,₹200–400,Andhra,·,,"Ground Floor, Khaidi Plaza, 2-1-51, Bhanugudi Jct",,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Kshatriya Foods,4.1,"-4,800",·,₹200–400,Biryani,·,,·,"Door No 67-11-7/C, 5th Cross Road, Opposite JNTU 2nd Gate",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Barkas Arabian kitchens,3.9,"-4,117",·,"₹200–1,200",Middle Eastern,·,,·,"28-1-10, Main Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Ammama Gari illu,3.9,"-2,118",·,"₹200–1,200",North Indian,·,,·,near Janmabhoomi Park Road,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Haveli Dakshin,3.8,"-4,852",·,₹200–600,Biryani,·,,"X64M+GWV, Main Rd, opposite Town Hall",,Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
